ūk I.pron.1sg.nom
ammuk I.pron.1sg.acc-dat-loc
ammel I.pron.1sg.gen
ammedaz I.pron.1sg.abl.
weš we.pron.1pl.nom
anzaš we.pron.1pl.acc-dat-loc
anzel we.pron.1pl.gen
anzedaz we.pron.1pl.abl
zik you.pron.2sg.nom
tuk you.pron.2sg.acc-dat-loc
tuel you.pron.2sg.gen
tuedaz you.pron.2sg.abl
šumeš you.pron.2pl.nom
šumaš you.pron.2pl.acc-dat-loc
šumel you.pron.2pl.gen
šumenzan you.pron.2pl.gen
šumedaz you.pron.2pl.abl
=mu I.pron.1sg.acc-dat-loc.encl
=naš I.pron.1pl.acc-dat-loc.encl
=ta you.pron.2sg.acc-dat-loc.encl
=tta you.pron.2sg.acc-dat-loc.encl
=du you.pron.2sg.acc-dat-loc.encl
=šmaš you.pron.2pl.acc-dat-loc.encl
=aš he.pron.3sg.nom.com.encl
=an he.pron.3sg.acc.com.encl
=at he.pron.3sg.nom-acc.n.encl
=at they.pron.3pl.acc.encl
=ši he.pron.3sg.dat-loc.encl
=šši he.pron.3sg.dat-loc.encl
=e they.pron.3pl.nom.encl
=uš they.pron.3pl.nom.com.encl
=šmaš they.pron.3pl.dat-loc.encl
=miš me.poss.1sg-pl.nom-acc.com.encl
=muš me.poss.1pl.acc.com.encl
=min me.poss.1sg.acc.com.encl
=man me.poss.1sg-pl.acc-gen.com.encl
=mit me.poss.1sg-pl.nom-acc.n.encl
=mi me.poss.1sg.dat-loc-voc.encl
=maš me.poss.1sg.gen.encl
=šummiš we.poss.1sg.nom.com.encl
=šummi we.poss.1sg.acc.com.encl
=šumman we.poss.1sg.acc.com.encl
=šummit we.poss.1sg.nom-acc.n.encl
=šummuš we.poss.1pl.gen.encl
=tiš you.poss.2sg-pl.nom.com.encl
=tin you.poss.2sg.acc.com.encl
=tit you.poss.2sg.nom-acc-instr.n.encl
=taš you.poss.2sg.gen.encl
=ti you.poss.2sg.dat-loc.encl
=ta you.poss.2sg.all.encl
=tuš you.poss.2pl.acc.com.encl
=šmiš you-they.poss.2sg.nom.com.encl
=šman you-they.poss.2sg.acc.com.encl
=šmit you-they.poss.2sg.nom-acc-instr.n.encl
=šmi you-they.poss.2sg.dat-loc.encl
=šma you-they.poss.2sg.all.encl
=šmuš you-they.poss.2pl.acc.com.encl
=šmaš you-they.poss.2pl.dat-loc.encl
=šiš he.poss.3sg.nom.com.encl
=sin he.poss.3sg.acc.com.encl
=šan he.poss.3sg.acc.com.encl
=šit he.poss.3sg.nom-acc-instr.n.encl
=šaš he.poss.3sg.gen.encl
=ši he.poss.3sg.dat-loc.encl
=šši he.poss.3sg.dat-loc.encl
=ša he.poss.3sg.all.encl
=šša he.poss.3sg.all.encl
kāš this.dem.sg.nom.com
kūn this.dem.sg.acc.com
kī this.dem.sg.nom-acc.n
kēl this.dem.sg-pl.gen
kēdani this.dem.sg.dat-loc
kēz this.dem.sg-pl.abl
kezza this.dem.sg-pl.abl
kēdanda this.dem.sg-pl.instr
kē this.dem.pl.nom-acc
kūš this.dem.pl.acc.com
kenzan this.dem.pl.gen
kedaš this.dem.pl.gen-dat-loc
apāš that.dem.sg.nom.com
apūn that.dem.sg.acc.com
apāt that.dem.sg.nom-acc.n
apēl that.dem.sg-pl.gen
apēdani that.dem.sg.dat-loc
apēz that.dem.sg-pl.abl
apezza that.dem.sg-pl.abl
apedanda that.dem.sg-pl.instr
apē that.dem.pl.nom
apūš that.dem.pl.acc.com
apenzan that.dem.pl.gen
apēdaš that.dem.pl.dat-loc
tamaiš other.dem.sg.nom.com
tamain other.dem.sg.acc.com
tamai other.dem.sg.nom-acc.n
damēl other.dem.sg.gen
tamēdani other.dem.sg.dat-loc
damēte other.dem.sg.dat-loc
tameda other.dem.sg-pl.all
tamēdaz other.dem.sg-pl.abl
tamaēš other.dem.pl.nom.com
tamāuš other.dem.pl.acc.com
tamāe other.dem.pl.nom-acc.n
damedaš other.dem.sg.gen-dat-loc
kuiš which.rel.sg.nom.com
kuin which.rel.sg.acc.com
kuit which.rel.sg.nom-acc.n
kuel which.rel.sg.gen
kuedani which.rel.sg.dat-loc
kuez which.rel.sg.abl
kuieš which.rel.pl.nom.com
kuiuš which.rel.pl.acc.com
kue which.rel.pl.nom-acc.n
kuedaš which.rel.pl.dat-loc
kuez which.rel.sg.abl
kuiški some.indef.sg.nom.com
kuinki some.indef.sg.acc.com
kuitki some.indef.sg.nom-acc.n
kuelka some.indef.sg.gen
kuedanikki some.indef.sg.dat-loc
kuezka some.indef.sg-pl.abl
kuieška some.indef.pl.nom.com
kuiuška some.indef.pl.acc.com
kueka some.indef.pl.nom-acc.n
kuekki some.indef.pl.nom-acc.n
kuedaška some.indef.pl.dat-loc
